cue,name,string
7, LiPF6, LiPF6
8, LiBF4, LiBF4
9, LiBOB, LiBOB
10, LiTFSI, LiTFSI
11, Li2(B12F12), Li2(B12F12)
12, LiDFOB, LiDFOB
13, LiFSI, LiFSI
14, Li-Triflate, Li-Triflate
15,LiAsF6,LiAsF6
16,LiPO2F2,LiPO2F2
17, NaClO4, NaClO4
18, NaPF6, NaPF6
19, NaBF4, NaBF4
20, NaTFSI, NaTFSI
21, PA5-PF6 (RTIL), PA5-PF6 (RTIL)
22, PYR13-FSI (RTIL), PYR13-FSI (RTIL)
23,EMI-FSI (RTIL),EMI-FSI (RTIL)
24,CsPF6,CsPF6
25,Mg(TFSI)2,Mg(TFSI)2
27, NaNO3, NaNO3
26, NaCl, NaCl
31, MgSO4, MgSO4
32, Al(NO3)3, Al(NO3)3
28,Na2SO4,Na2SO4
29,LiNO3,LiNO3
30,Li2SO4,Li2SO4
33,LiBr,LiBr
